Resource,biomass,conventional_hydroelectric,conventional_steam_coal1,conventional_steam_coal2,conventional_steam_coal3,conventional_steam_coal4,conventional_steam_coal5,conventional_steam_coal6,conventional_steam_coal7,conventional_steam_coal8,conventional_steam_coal9,conventional_steam_coal10,conventional_steam_coal11,conventional_steam_coal12,conventional_steam_coal13,conventional_steam_coal14,conventional_steam_coal15,geothermal,hydroelectric_pumped_storage,natural_gas_fired_combined_cycle1,natural_gas_fired_combined_cycle2,natural_gas_fired_combined_cycle3,natural_gas_fired_combined_cycle4,natural_gas_fired_combined_cycle5,natural_gas_fired_combined_cycle6,natural_gas_fired_combustion_turbine1,natural_gas_fired_combustion_turbine2,natural_gas_fired_combustion_turbine3,natural_gas_fired_combustion_turbine4,natural_gas_fired_combustion_turbine5,natural_gas_steam_turbine1,natural_gas_steam_turbine2,nuclear,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,naturalgas_ccavgcf_mid,naturalgas_ctavgcf_mid,battery_mid,nuclear_mid,naturalgas_ccs100_mid,landbasedwind_ltrg1_mid_40_1,landbasedwind_ltrg1_mid_40_2,landbasedwind_ltrg1_mid_40_3,landbasedwind_ltrg1_mid_40_4,landbasedwind_ltrg1_mid_40_5,landbasedwind_ltrg1_mid_40_6,landbasedwind_ltrg1_mid_40_7,landbasedwind_ltrg1_mid_40_8,landbasedwind_ltrg1_mid_40_9,landbasedwind_ltrg1_mid_40_10,landbasedwind_ltrg1_mid_40_11,landbasedwind_ltrg1_mid_40_12,landbasedwind_ltrg1_mid_40_13,landbasedwind_ltrg1_mid_40_14,landbasedwind_ltrg1_mid_40_15,utilitypv_losangeles_mid_0_2_1,utilitypv_losangeles_mid_0_2_2,utilitypv_losangeles_mid_0_2_3,utilitypv_losangeles_mid_0_2_4,utilitypv_losangeles_mid_0_2_5,utilitypv_losangeles_mid_0_2_6,utilitypv_losangeles_mid_0_2_7,utilitypv_losangeles_mid_0_2_8,utilitypv_losangeles_mid_0_2_9,utilitypv_losangeles_mid_0_2_10,utilitypv_losangeles_mid_0_2_11,utilitypv_losangeles_mid_0_2_12,utilitypv_losangeles_mid_0_2_13,utilitypv_losangeles_mid_0_2_14,utilitypv_losangeles_mid_0_2_15,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769968.7,30408.354,67100.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64802.117,104938.0,12144.473,84141.5,83167.414,117992.414,28809.951,131546.89,77406.72,14589.097,78330.445,0.0,2766.5986,0.0,0.0,1.6681136e6
t1,0.0,533.8939825855728,63.26200000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.928,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,0.0,0.0,0.0,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170636,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35305.372860326774
t2,0.0,0.58297223999989,830.482,0.0,0.0,0.0,0.0,0.0,347.13,1216.3799999999999,0.0,0.0,0.0,0.0,0.0,326.928,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,0.0,0.0,0.0,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170636,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37102.79184998121
t3,0.0,339.6490479299996,830.482,0.0,0.0,0.0,0.0,0.0,348.348,0.0,0.0,0.0,0.0,0.0,0.0,326.928,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,0.0,0.0,0.0,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170636,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36226.69592567121
t4,0.0,-338.7479554900001,830.482,0.0,0.0,0.0,0.0,0.0,348.348,1216.3799999999999,0.0,0.0,0.0,0.0,0.0,326.928,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,0.0,0.0,0.0,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170636,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36764.6789222512
t5,0.0,126.7546160466668,830.482,0.0,0.0,0.0,0.0,0.0,348.348,0.0,0.0,0.0,0.0,0.0,0.0,326.928,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,0.0,0.0,0.0,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170636,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36013.80149378787
t6,0.0,805.9644006266667,830.482,0.0,0.0,0.0,0.0,0.0,348.348,0.0,0.0,0.0,0.0,0.0,0.0,326.928,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,0.0,0.0,0.0,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170636,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36693.01127836787
t7,0.0,127.55892272666688,767.2199999999999,0.0,0.0,0.0,0.0,0.0,347.13,243.1794766413891,0.0,0.0,0.0,0.0,0.0,316.91999999999996,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,0.0,0.0,0.0,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170636,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36183.29727710926
t8,0.0,-551.049509153333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,0.0,0.0,0.0,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170636,0.0,4153.596920623466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26159.763199640765
